Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,,
2016-11-02,288.8305358886719,311.5375061035156,313.92498779296875,310.375,312.7749938964844,6474432
2016-11-03,290.8702392578125,313.73748779296875,315.0,307.9375,311.25,6315812
2016-11-04,288.2626647949219,310.92498779296875,313.20001220703125,310.4375,313.20001220703125,5734920
2016-11-07,289.595458984375,312.36248779296875,313.7124938964844,310.0,313.0,5671392
2016-11-08,290.7195739746094,313.57501220703125,314.5,310.0249938964844,312.7749938964844,5348164
2016-11-09,290.01263427734375,312.8125,314.3500061035156,298.8374938964844,300.0,13645468
2016-11-10,296.3402099609375,319.63751220703125,320.75,313.5249938964844,315.9375,10700736
2016-11-11,295.7027893066406,318.95001220703125,320.5,316.3999938964844,318.5,7139320
2016-11-15,290.8238525390625,313.6875,322.25,312.6625061035156,319.375,12512524
2016-11-16,288.41339111328125,311.0874938964844,317.0,310.01251220703125,317.0,8647744
2016-11-17,285.13372802734375,307.54998779296875,312.2250061035156,306.2875061035156,309.57501220703125,4815624
2016-11-18,280.7762756347656,302.8500061035156,309.0,302.29998779296875,309.0,6879900
2016-11-21,277.8326416015625,299.67498779296875,304.875,297.0874938964844,304.875,5552520
2016-11-22,277.68206787109375,299.51251220703125,301.70001220703125,297.3374938964844,301.70001220703125,10017784
2016-11-23,274.599365234375,296.1875,300.75,295.2749938964844,300.75,3532692
2016-11-24,270.13763427734375,291.375,296.57501220703125,290.2250061035156,296.0,15285996
2016-11-25,275.65399169921875,297.32501220703125,298.29998779296875,289.5,292.25,5969960
2016-11-28,274.5298156738281,296.11248779296875,299.7250061035156,294.5249938964844,295.0625,4130180
2016-11-29,273.20867919921875,294.6875,298.23748779296875,294.125,296.17498779296875,3932644
2016-11-30,278.0412902832031,299.8999938964844,300.5,295.2749938964844,296.25,6442840
2016-12-01,277.49658203125,299.3125,301.9750061035156,298.25,300.57501220703125,4476984
2016-12-02,275.60760498046875,297.2749938964844,300.48748779296875,294.17498779296875,297.25,4062672
2016-12-05,277.2879943847656,299.0874938964844,299.73748779296875,294.125,296.8999938964844,4551936
2016-12-06,276.8476257324219,298.61248779296875,300.7124938964844,297.54998779296875,298.75,2702964
2016-12-07,273.8692626953125,295.3999938964844,301.4750061035156,291.75,300.4624938964844,5628192
2016-12-08,278.01812744140625,299.875,301.38751220703125,296.75,296.75,4309696
2016-12-09,277.7399597167969,299.57501220703125,300.57501220703125,297.0,299.7749938964844,4387952
2016-12-12,274.5298156738281,296.11248779296875,298.0375061035156,295.2749938964844,298.0,3425272
2016-12-13,274.9470520019531,296.5625,297.5874938964844,294.63751220703125,295.0625,2526868
2016-12-14,272.50177001953125,293.92498779296875,297.0,293.3500061035156,296.75,4314144
2016-12-15,272.71038818359375,294.1499938964844,298.625,290.8999938964844,291.04998779296875,4941488
2016-12-16,274.0315246582031,295.57501220703125,296.25,292.88751220703125,294.1499938964844,3255828
2016-12-19,272.7451477050781,294.1875,294.875,292.625,294.20001220703125,3160436
2016-12-20,273.9388122558594,295.4750061035156,296.25,292.92498779296875,294.0,4189992
2016-12-21,273.4984130859375,295.0,296.25,293.75,296.0,2658876
2016-12-22,271.8992004394531,293.2749938964844,294.875,292.1000061035156,294.1000061035156,2805716
2016-12-23,274.9470520019531,296.5625,297.3125,292.32501220703125,292.75,4752516
2016-12-26,272.3395080566406,293.75,296.5249938964844,292.5249938964844,294.63751220703125,4183864
2016-12-27,274.70367431640625,296.29998779296875,296.7250061035156,293.4750061035156,294.82501220703125,4899296
2016-12-28,275.0629577636719,296.6875,298.73748779296875,295.25,297.4750061035156,6507840
2016-12-29,279.3392333984375,301.29998779296875,301.98748779296875,295.36248779296875,296.25,8100816
2016-12-30,279.571044921875,301.54998779296875,303.0,299.98748779296875,300.0,4066540
2017-01-02,277.4617919921875,299.2749938964844,302.5249938964844,298.01251220703125,302.36248779296875,3708656
2017-01-03,275.7929992675781,297.4750061035156,300.48748779296875,296.4375,300.20001220703125,3847500
2017-01-04,274.7732238769531,296.375,298.0,295.95001220703125,297.4624938964844,6967120
2017-01-05,274.9354248046875,296.54998779296875,298.625,295.7749938964844,297.25,6776384
2017-01-06,276.6622314453125,298.4125061035156,299.6000061035156,297.04998779296875,297.5249938964844,5525260
2017-01-09,277.02142333984375,298.79998779296875,301.0375061035156,298.0375061035156,299.7124938964844,4573796
2017-01-10,281.4599914550781,303.5874938964844,304.20001220703125,298.82501220703125,299.04998779296875,5546116
2017-01-11,286.0144348144531,308.5,309.5249938964844,303.875,304.375,9343404
