Date,HDFCBANK,ITC,MARUTI,NSEI,RELIANCE,SENSEX,TCS
2016-05-30,271.2144470214844,163.82720947265625,3717.617919921875,8178.5,212.26499938964844,26725.599609375,1042.765380859375
2016-05-31,271.708740234375,161.32269287109375,3799.653564453125,8160.10009765625,209.88754272460935,26667.9609375,1016.264892578125
2016-06-01,270.15692138671875,166.0789794921875,3803.077392578125,8179.9501953125,208.95626831054688,26713.9296875,1041.637939453125
2016-06-02,270.11102294921875,164.5165252685547,3822.525146484375,8218.9501953125,209.53692626953125,26843.140625,1048.2034912109375
2016-06-03,269.3753356933594,162.63238525390625,3851.1025390625,8220.7998046875,210.28195190429688,26843.029296875,1040.05615234375
2016-06-06,269.2259216308594,163.41358947753906,3781.75830078125,8201.0498046875,209.21920776367188,26777.44921875,1044.0321044921875
2016-06-07,269.8235778808594,166.69932556152344,3775.96044921875,8266.4501953125,209.2739715576172,27009.669921875,1051.4852294921875
2016-06-08,267.2718200683594,166.7222900390625,3798.28369140625,8273.0498046875,209.0658264160156,27020.66015625,1044.27197265625
2016-06-09,266.5361633300781,162.7242889404297,3806.546630859375,8203.599609375,212.8018951416016,26763.4609375,1029.945556640625
2016-06-10,266.98443603515625,161.1618194580078,3753.910888671875,8170.0498046875,214.0180206298828,26635.75,1021.3529052734376
2016-06-13,265.0418701171875,160.794189453125,3775.138671875,8110.60009765625,214.98216247558597,26396.76953125,1017.8567504882812
2016-06-14,264.8004455566406,162.3566436767578,3747.51953125,8108.85009765625,213.91940307617188,26395.7109375,1013.0007934570312
2016-06-15,268.8695983886719,165.2288055419922,3843.478515625,8206.599609375,215.74908447265625,26726.33984375,1021.7930297851562
